STATUS | wrapper  | 2023/12/21 03:44:21 | --> Wrapper Started as Console
STATUS | wrapper  | 2023/12/21 03:44:21 | Java Service Wrapper Standard Edition 64-bit 3.5.50
STATUS | wrapper  | 2023/12/21 03:44:21 |   Copyright (C) 1999-2022 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2023/12/21 03:44:21 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2023/12/21 03:44:21 |   Licensed to Atlassian Pty Ltd for Bamboo Remote Agent
STATUS | wrapper  | 2023/12/21 03:44:21 | 
STATUS | wrapper  | 2023/12/21 03:44:21 | Launching a JVM...
INFO   | jvm 1    | 2023/12/21 03:44:21 | WrapperManager: Initializing...
INFO   | jvm 1    | 2023/12/21 03:44:22 | 2023-12-21 03:44:22,519 INFO [WrapperSimpleAppMain] [RemoteAgentBootstrap] Starting Agent Bootstrap using Java 11.0.21 from Eclipse Adoptium. Default charset: UTF-8, file name encoding: UTF-8
INFO   | jvm 1    | 2023/12/21 03:44:22 | 2023-12-21 03:44:22,522 INFO [WrapperSimpleAppMain] [RemoteAgentBootstrap] Agent bootstrap using endpoint: http://bamboo-server:8085/agentServer
INFO   | jvm 1    | 2023/12/21 03:44:22 | 2023-12-21 03:44:22,527 INFO [WrapperSimpleAppMain] [RemoteAgentHomeLocatorForBootstrap] Using agent home located at [/var/atlassian/application-data/bamboo-agent]
INFO   | jvm 1    | 2023/12/21 03:44:22 | 2023-12-21 03:44:22,527 INFO [WrapperSimpleAppMain] [RemoteAgentHomeLocatorForBootstrap] Using agent home located at [/var/atlassian/application-data/bamboo-agent]
INFO   | jvm 1    | 2023/12/21 03:44:22 | 2023-12-21 03:44:22,528 INFO [WrapperSimpleAppMain] [AgentUuidInitializer] Generating new UUID for this agent: 85bb9ffd-7c93-4271-93e3-effff5aacf91
INFO   | jvm 1    | 2023/12/21 03:44:22 | 2023-12-21 03:44:22,536 INFO [WrapperSimpleAppMain] [RemoteAgentHomeLocatorForBootstrap] Using agent home located at [/var/atlassian/application-data/bamboo-agent]
